ICD10code,list_disease_real,disease_duration
C15.8,Other cancer,1826.25
C15.9,Other cancer,1826.25
C15,Other cancer,1826.25
C16.0,Other cancer,1826.25
C16.1,Other cancer,1826.25
C16.2,Other cancer,1826.25
C16.3,Other cancer,1826.25
C16.4,Other cancer,1826.25
C16.5,Other cancer,1826.25
C16.6,Other cancer,1826.25
C16.7,Other cancer,1826.25
C16.8,Other cancer,1826.25
C16.9,Other cancer,1826.25
C16,Other cancer,1826.25
C73.0,Other cancer,1826.25
C73.1,Other cancer,1826.25
C73.2,Other cancer,1826.25
C73.3,Other cancer,1826.25
C73.4,Other cancer,1826.25
C73.5,Other cancer,1826.25
C73.6,Other cancer,1826.25
C73.7,Other cancer,1826.25
C73.8,Other cancer,1826.25
C73.9,Other cancer,1826.25
C73,Other cancer,1826.25
C79.7,Other cancer,1826.25
C79.5,Other cancer,1826.25
C78.4,Other cancer,1826.25
C78.5,Other cancer,1826.25
C78.0,Other cancer,1826.25
C77.0,Other cancer,1826.25
C77.1,Other cancer,1826.25
C77.2,Other cancer,1826.25
C77.3,Other cancer,1826.25
C77.4,Other cancer,1826.25
C77.5,Other cancer,1826.25
C77.6,Other cancer,1826.25
C77.7,Other cancer,1826.25
C77.8,Other cancer,1826.25
C77.9,Other cancer,1826.25
C77,Other cancer,1826.25
C78.2,Other cancer,1826.25
C81.0,All cancers,1826.25
C81.1,All cancers,1826.25
C81.2,All cancers,1826.25
C81.3,All cancers,1826.25
C81.4,All cancers,1826.25
C81.5,All cancers,1826.25
C81.6,All cancers,1826.25
C81.7,All cancers,1826.25
C81.8,All cancers,1826.25
C81.9,All cancers,1826.25
C81,All cancers,1826.25
C91.0,All cancers,1826.25
C91.1,All cancers,1826.25
C91.2,All cancers,1826.25
C91.3,All cancers,1826.25
C91.4,All cancers,1826.25
C91.5,All cancers,1826.25
C91.6,All cancers,1826.25
C91.7,All cancers,1826.25
C91.8,All cancers,1826.25
C91.9,All cancers,1826.25
C91,All cancers,1826.25
C92.0,All cancers,1826.25
C92.1,All cancers,1826.25
C92.2,All cancers,1826.25
C92.3,All cancers,1826.25
C92.4,All cancers,1826.25
C92.5,All cancers,1826.25
C92.6,All cancers,1826.25
C92.7,All cancers,1826.25
C92.8,All cancers,1826.25
C92.9,All cancers,1826.25
C92,All cancers,1826.25
C93.0,All cancers,1826.25
C93.1,All cancers,1826.25
C93.2,All cancers,1826.25
C93.3,All cancers,1826.25
C93.4,All cancers,1826.25
C93.5,All cancers,1826.25
C93.6,All cancers,1826.25
C93.7,All cancers,1826.25
C93.8,All cancers,1826.25
C93.9,All cancers,1826.25
C93,All cancers,1826.25
C94.0,All cancers,1826.25
C94.1,All cancers,1826.25
C94.2,All cancers,1826.25
C94.3,All cancers,1826.25
C94.4,All cancers,1826.25
C94.5,All cancers,1826.25
C94.6,All cancers,1826.25
C94.7,All cancers,1826.25
C94.8,All cancers,1826.25
C94.9,All cancers,1826.25
